,code,tradeStatus,code_name,isIndex,isSt
887,sh.600796,1,钱江生化,False,False
888,sh.600797,1,浙大网新,False,False
889,sh.600798,1,宁波海运,False,False
890,sh.600800,1,天津磁卡,False,False
891,sh.600801,1,华新水泥,False,False
892,sh.600802,1,福建水泥,False,False
893,sh.600803,1,新奥股份,False,False
894,sh.600804,1,鹏博士,False,False
895,sh.600805,1,悦达投资,False,False
897,sh.600808,1,马钢股份,False,False
898,sh.600809,1,山西汾酒,False,False
899,sh.600810,1,神马股份,False,False
900,sh.600811,1,东方集团,False,False
901,sh.600812,1,华北制药,False,False
902,sh.600814,1,杭州解百,False,False
904,sh.600816,1,安信信托,False,False
906,sh.600818,1,中路股份,False,False
907,sh.600819,1,耀皮玻璃,False,False
908,sh.600820,1,隧道股份,False,False
909,sh.600821,1,津劝业,False,False
910,sh.600822,1,上海物贸,False,False
911,sh.600823,1,世茂股份,False,False
912,sh.600824,1,益民集团,False,False
913,sh.600825,1,新华传媒,False,False
914,sh.600826,1,兰生股份,False,False
915,sh.600827,1,百联股份,False,False
916,sh.600828,1,茂业商业,False,False
917,sh.600829,1,人民同泰,False,False
918,sh.600830,1,香溢融通,False,False
919,sh.600831,1,广电网络,False,False
920,sh.600833,1,第一医药,False,False
921,sh.600834,1,申通地铁,False,False
922,sh.600835,1,上海机电,False,False
923,sh.600836,1,界龙实业,False,False
924,sh.600837,1,海通证券,False,False
925,sh.600838,1,上海九百,False,False
926,sh.600839,1,四川长虹,False,False
927,sh.600841,1,上柴股份,False,False
928,sh.600843,1,上工申贝,False,False
929,sh.600844,1,丹化科技,False,False
930,sh.600845,1,宝信软件,False,False
931,sh.600846,1,同济科技,False,False
932,sh.600847,1,万里股份,False,False
933,sh.600848,1,上海临港,False,False
934,sh.600850,1,华东电脑,False,False
935,sh.600851,1,海欣股份,False,False
936,sh.600853,1,龙建股份,False,False
937,sh.600854,1,春兰股份,False,False
938,sh.600855,1,航天长峰,False,False
940,sh.600857,1,宁波中百,False,False
941,sh.600858,1,银座股份,False,False
942,sh.600859,1,王府井,False,False
943,sh.600860,1,京城股份,False,False
944,sh.600861,1,北京城乡,False,False
945,sh.600862,1,中航高科,False,False
946,sh.600863,1,内蒙华电,False,False
947,sh.600864,1,哈投股份,False,False
948,sh.600865,1,百大集团,False,False
949,sh.600866,1,星湖科技,False,False
950,sh.600867,1,通化东宝,False,False
951,sh.600868,1,梅雁吉祥,False,False
952,sh.600869,1,智慧能源,False,False
954,sh.600871,1,石化油服,False,False
955,sh.600872,1,中炬高新,False,False
956,sh.600873,1,梅花生物,False,False
957,sh.600874,1,创业环保,False,False
958,sh.600875,1,东方电气,False,False
959,sh.600876,1,洛阳玻璃,False,False
961,sh.600879,1,航天电子,False,False
962,sh.600880,1,博瑞传播,False,False
963,sh.600881,1,亚泰集团,False,False
964,sh.600882,1,妙可蓝多,False,False
965,sh.600883,1,博闻科技,False,False
966,sh.600884,1,杉杉股份,False,False
967,sh.600885,1,宏发股份,False,False
968,sh.600886,1,国投电力,False,False
969,sh.600887,1,伊利股份,False,False
970,sh.600888,1,新疆众和,False,False
971,sh.600889,1,南京化纤,False,False
972,sh.600890,1,中房股份,False,False
974,sh.600892,1,大晟文化,False,False
975,sh.600893,1,航发动力,False,False
976,sh.600894,1,广日股份,False,False
977,sh.600895,1,张江高科,False,False
978,sh.600896,1,览海投资,False,False
979,sh.600897,1,厦门空港,False,False
980,sh.600898,1,国美通讯,False,False
981,sh.600900,1,长江电力,False,False
982,sh.600901,1,江苏租赁,False,False
